Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study,687,25.0000,50.0000,2.5000,24.8211,49.6743,2.5012,0.3716,-0.1789,-0.3257,0.0012,,,,,,,,,,,
2,20240207-MicroHoles_study,10886,25.0000,48.6173,2.5000,24.8198,48.3003,2.5024,0.3646,-0.1802,-0.3170,0.0024,1.3827,0.0000,-1.3827,0.0000,1.3741,-0.0013,-1.3741,0.0011,0.0087,0.6256,
3,20240207-MicroHoles_study,10883,25.0000,47.2346,2.5000,24.8188,46.9253,2.5030,0.3584,-0.1812,-0.3092,0.0030,,,,,,,,,,,
4,20240207-MicroHoles_study,10877,25.0000,45.8547,2.5000,24.8180,45.5542,2.5021,0.3513,-0.1820,-0.3004,0.0021,1.3799,0.0000,-1.3799,0.0000,1.3711,-0.0008,-1.3711,-0.0009,0.0088,0.6377,
5,20240207-MicroHoles_study,10880,25.0000,44.4693,2.5000,24.8177,44.1790,2.5024,0.3427,-0.1823,-0.2902,0.0024,,,,,,,,,,,
6,20240207-MicroHoles_study,10865,25.0000,43.0838,2.5000,24.8193,42.8035,2.5032,0.3336,-0.1807,-0.2804,0.0032,1.3854,0.0000,-1.3854,0.0000,1.3756,0.0016,-1.3756,0.0007,0.0098,0.7107,
7,20240207-MicroHoles_study,10874,25.0000,41.6962,2.5000,24.8197,41.4244,2.5050,0.3263,-0.1803,-0.2719,0.0050,,,,,,,,,,,
8,20240207-MicroHoles_study,10868,25.0000,40.3094,2.5000,24.8197,40.0464,2.5043,0.3190,-0.1803,-0.2630,0.0043,1.3868,0.0000,-1.3868,0.0000,1.3780,0.0000,-1.3780,-0.0007,0.0088,0.6357,
9,20240207-MicroHoles_study,10871,25.0000,38.9230,2.5000,24.8204,38.6701,2.5049,0.3102,-0.1796,-0.2529,0.0049,,,,,,,,,,,
10,20240207-MicroHoles_study,10838,25.0000,37.5366,2.5000,24.8228,37.2927,2.5054,0.3015,-0.1772,-0.2439,0.0054,1.3864,0.0000,-1.3864,0.0000,1.3774,0.0023,-1.3774,0.0004,0.0090,0.6523,
11,20240207-MicroHoles_study,10862,25.0000,36.1492,2.5000,24.8237,35.9139,2.5077,0.2941,-0.1763,-0.2353,0.0077,,,,,,,,,,,
12,20240207-MicroHoles_study,10859,25.0000,34.7619,2.5000,24.8249,34.5356,2.5066,0.2862,-0.1751,-0.2263,0.0066,1.3873,0.0000,-1.3873,0.0000,1.3784,0.0013,-1.3784,-0.0011,0.0090,0.6467,
13,20240207-MicroHoles_study,10853,25.0000,33.3730,2.5000,24.8263,33.1560,2.5069,0.2780,-0.1737,-0.2170,0.0069,,,,,,,,,,,
14,20240207-MicroHoles_study,10856,25.0000,31.9833,2.5000,24.8275,31.7752,2.5098,0.2705,-0.1725,-0.2081,0.0098,1.3897,0.0000,-1.3897,0.0000,1.3808,0.0011,-1.3808,0.0029,0.0088,0.6364,
15,20240207-MicroHoles_study,10841,25.0000,30.5936,2.5000,24.8286,30.3939,2.5100,0.2633,-0.1714,-0.1997,0.0100,,,,,,,,,,,
16,20240207-MicroHoles_study,10850,25.0000,29.2032,2.5000,24.8297,29.0128,2.5104,0.2556,-0.1703,-0.1904,0.0104,1.3904,0.0000,-1.3904,0.0000,1.3811,0.0010,-1.3811,0.0003,0.0094,0.6735,
17,20240207-MicroHoles_study,10844,25.0000,27.8141,2.5000,24.8309,27.6331,2.5108,0.2479,-0.1691,-0.1810,0.0108,,,,,,,,,,,
18,20240207-MicroHoles_study,10847,25.0000,26.4250,2.5000,24.8318,26.2521,2.5111,0.2415,-0.1682,-0.1729,0.0111,1.3891,0.0000,-1.3891,0.0000,1.3810,0.0009,-1.3810,0.0003,0.0081,0.5827,
19,20240207-MicroHoles_study,10784,25.0000,25.0374,2.5000,24.8321,24.8735,2.5085,0.2348,-0.1679,-0.1639,0.0085,,,,,,,,,,,
20,20240207-MicroHoles_study,10835,25.0000,23.6499,2.5000,24.8323,23.4950,2.5090,0.2284,-0.1677,-0.1549,0.0090,1.3876,0.0000,-1.3876,0.0000,1.3785,0.0002,-1.3785,0.0005,0.0090,0.6513,
21,20240207-MicroHoles_study,10832,25.0000,22.2626,2.5000,24.8334,22.1169,2.5088,0.2215,-0.1666,-0.1457,0.0088,,,,,,,,,,,
22,20240207-MicroHoles_study,10826,25.0000,20.8753,2.5000,24.8343,20.7385,2.5108,0.2152,-0.1657,-0.1369,0.0108,1.3873,0.0000,-1.3873,0.0000,1.3784,0.0009,-1.3784,0.0019,0.0088,0.6373,
23,20240207-MicroHoles_study,10829,25.0000,19.4845,2.5000,24.8352,19.3564,2.5086,0.2089,-0.1648,-0.1281,0.0086,,,,,,,,,,,
24,20240207-MicroHoles_study,10814,25.0000,18.0937,2.5000,24.8361,17.9744,2.5088,0.2029,-0.1639,-0.1192,0.0088,1.3908,0.0000,-1.3908,0.0000,1.3820,0.0009,-1.3820,0.0003,0.0089,0.6384,
25,20240207-MicroHoles_study,10823,25.0000,16.7026,2.5000,24.8357,16.5920,2.5112,0.1984,-0.1643,-0.1106,0.0112,,,,,,,,,,,
26,20240207-MicroHoles_study,10817,25.0000,15.3121,2.5000,24.8362,15.2108,2.5109,0.1929,-0.1638,-0.1013,0.0109,1.3904,0.0000,-1.3904,0.0000,1.3811,0.0005,-1.3811,-0.0003,0.0093,0.6699,
27,20240207-MicroHoles_study,10820,25.0000,13.9250,2.5000,24.8371,13.8318,2.5090,0.1879,-0.1629,-0.0932,0.0090,,,,,,,,,,,
28,20240207-MicroHoles_study,10787,25.0000,12.5379,2.5000,24.8375,12.4539,2.5086,0.1831,-0.1625,-0.0840,0.0086,1.3871,0.0000,-1.3871,0.0000,1.3779,0.0004,-1.3779,-0.0003,0.0093,0.6670,
29,20240207-MicroHoles_study,10811,25.0000,11.1516,2.5000,24.8372,11.0757,2.5105,0.1799,-0.1628,-0.0759,0.0105,,,,,,,,,,,
30,20240207-MicroHoles_study,10808,25.0000,9.7619,2.5000,24.8373,9.6954,2.5103,0.1760,-0.1627,-0.0665,0.0103,1.3897,0.0000,-1.3897,0.0000,1.3803,0.0001,-1.3803,-0.0002,0.0094,0.6771,
31,20240207-MicroHoles_study,10802,25.0000,8.3736,2.5000,24.8377,8.3163,2.5101,0.1724,-0.1623,-0.0573,0.0101,,,,,,,,,,,
32,20240207-MicroHoles_study,10805,25.0000,6.9853,2.5000,24.8383,6.9370,2.5094,0.1691,-0.1617,-0.0483,0.0094,1.3883,0.0000,-1.3883,0.0000,1.3793,0.0005,-1.3793,-0.0007,0.0090,0.6511,
33,20240207-MicroHoles_study,10790,25.0000,5.5952,2.5000,24.8383,5.5552,2.5083,0.1668,-0.1617,-0.0400,0.0083,,,,,,,,,,,
