Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
29,20240207-MicroHoles_study,10515,25.0000,-12.2728,0.0000,24.8366,-12.1892,0.0099,0.1838,-0.1634,0.0836,0.0099,,,,,,,,,,,
30,20240207-MicroHoles_study,10548,25.0000,-10.9804,0.0000,24.8372,-10.9055,0.0091,0.1794,-0.1628,0.0748,0.0091,1.2925,0.0000,1.2925,0.0000,1.2837,0.0006,1.2837,-0.0008,0.0088,0.6780,
31,20240207-MicroHoles_study,10545,25.0000,-9.6879,0.0000,24.8373,-9.6210,0.0099,0.1762,-0.1627,0.0669,0.0099,,,,,,,,,,,
32,20240207-MicroHoles_study,10551,25.0000,-8.2974,0.0000,24.8375,-8.2397,0.0133,0.1730,-0.1625,0.0577,0.0133,1.3904,0.0000,1.3904,0.0000,1.3813,0.0002,1.3813,0.0034,0.0091,0.6560,
33,20240207-MicroHoles_study,10542,25.0000,-6.9058,0.0000,24.8374,-6.8576,0.0144,0.1702,-0.1626,0.0481,0.0144,,,,,,,,,,,
34,20240207-MicroHoles_study,10557,25.0000,-5.5141,0.0000,24.8371,-5.4755,0.0137,0.1680,-0.1629,0.0386,0.0137,1.3917,0.0000,1.3917,0.0000,1.3822,-0.0003,1.3822,-0.0006,0.0095,0.6828,
35,20240207-MicroHoles_study,10554,25.0000,-4.1261,0.0000,24.8365,-4.0965,0.0147,0.1668,-0.1635,0.0296,0.0147,,,,,,,,,,,
36,20240207-MicroHoles_study,10560,25.0000,-2.7381,0.0000,24.8355,-2.7190,0.0173,0.1665,-0.1645,0.0192,0.0173,1.3880,0.0000,1.3880,0.0000,1.3776,-0.0009,1.3776,0.0025,0.0104,0.7516,
37,20240207-MicroHoles_study,10563,25.0000,-1.3501,0.0000,24.8361,-1.3416,0.0184,0.1652,-0.1639,0.0085,0.0184,,,,,,,,,,,
38,20240207-MicroHoles_study,10458,25.0000,0.0379,0.0000,24.8372,0.0365,0.0180,0.1638,-0.1628,-0.0013,0.0180,1.3880,0.0000,1.3880,0.0000,1.3781,0.0012,1.3781,-0.0004,0.0098,0.7094,
39,20240207-MicroHoles_study,10578,25.0000,1.4250,0.0000,24.8381,1.4147,0.0208,0.1635,-0.1619,-0.0103,0.0208,,,,,,,,,,,
40,20240207-MicroHoles_study,10575,25.0000,2.8121,0.0000,24.8381,2.7923,0.0214,0.1645,-0.1619,-0.0198,0.0214,1.3871,0.0000,1.3871,0.0000,1.3776,-0.0001,1.3776,0.0006,0.0095,0.6842,
41,20240207-MicroHoles_study,10581,25.0000,4.2026,0.0000,24.8379,4.1727,0.0206,0.1661,-0.1621,-0.0299,0.0206,,,,,,,,,,,
42,20240207-MicroHoles_study,10572,25.0000,5.5952,0.0000,24.8385,5.5566,0.0208,0.1674,-0.1615,-0.0387,0.0208,1.3926,0.0000,1.3926,0.0000,1.3839,0.0006,1.3839,0.0001,0.0088,0.6299,
43,20240207-MicroHoles_study,10587,25.0000,6.9853,0.0000,24.8386,6.9379,0.0213,0.1695,-0.1614,-0.0474,0.0213,,,,,,,,,,,
44,20240207-MicroHoles_study,10584,25.0000,8.3736,0.0000,24.8386,8.3173,0.0223,0.1724,-0.1614,-0.0563,0.0223,1.3883,0.0000,1.3883,0.0000,1.3794,-0.0001,1.3794,0.0010,0.0089,0.6407,
45,20240207-MicroHoles_study,10590,25.0000,9.7619,0.0000,24.8382,9.6958,0.0229,0.1763,-0.1618,-0.0661,0.0229,,,,,,,,,,,
46,20240207-MicroHoles_study,10593,25.0000,11.1516,0.0000,24.8384,11.0766,0.0234,0.1797,-0.1616,-0.0750,0.0234,1.3897,0.0000,1.3897,0.0000,1.3808,0.0002,1.3808,0.0004,0.0089,0.6383,
47,20240207-MicroHoles_study,10569,25.0000,12.5379,0.0000,24.8387,12.4541,0.0259,0.1836,-0.1613,-0.0838,0.0259,,,,,,,,,,,
48,20240207-MicroHoles_study,10602,25.0000,13.9250,0.0000,24.8386,13.8325,0.0262,0.1879,-0.1614,-0.0925,0.0262,1.3871,0.0000,1.3871,0.0000,1.3784,-0.0001,1.3784,0.0003,0.0087,0.6274,
49,20240207-MicroHoles_study,10599,25.0000,15.3121,0.0000,24.8375,15.2107,0.0241,0.1931,-0.1625,-0.1014,0.0241,,,,,,,,,,,
50,20240207-MicroHoles_study,10605,25.0000,16.7026,0.0000,24.8365,16.5926,0.0245,0.1986,-0.1635,-0.1100,0.0245,1.3904,0.0000,1.3904,0.0000,1.3819,-0.0010,1.3819,0.0003,0.0085,0.6132,
