Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (280) ,685,25.0000,-50.0000,0.0000,24.8160,-49.6782,-0.0440,0.3732,-0.1840,0.3218,-0.0440,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (280) ,11644,23.6175,-50.0000,0.0000,23.4421,-49.6757,-0.0430,0.3712,-0.1754,0.3243,-0.0430,1.3825,-1.3825,0.0000,0.0000,1.3740,-1.3740,0.0026,0.0010,0.0086,0.6200,
3,20240207-MicroHoles_study_1 (0.264) (280) ,11641,22.2346,-50.0000,0.0000,22.0671,-49.6721,-0.0427,0.3707,-0.1674,0.3279,-0.0427,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (280) ,11635,20.8547,-50.0000,0.0000,20.6954,-49.6688,-0.0407,0.3698,-0.1592,0.3312,-0.0407,1.3799,-1.3799,0.0000,0.0000,1.3717,-1.3717,0.0033,0.0020,0.0082,0.5935,
5,20240207-MicroHoles_study_1 (0.264) (280) ,11638,19.4720,-50.0000,0.0000,19.3220,-49.6660,-0.0378,0.3681,-0.1501,0.3340,-0.0378,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (280) ,11623,18.0848,-50.0000,0.0000,17.9457,-49.6642,-0.0362,0.3653,-0.1391,0.3358,-0.0362,1.3872,-1.3872,0.0000,0.0000,1.3763,-1.3763,0.0018,0.0016,0.0110,0.7899,
7,20240207-MicroHoles_study_1 (0.264) (280) ,11632,16.6967,-50.0000,0.0000,16.5665,-49.6626,-0.0355,0.3634,-0.1302,0.3374,-0.0355,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (280) ,11626,15.3086,-50.0000,0.0000,15.1869,-49.6611,-0.0329,0.3615,-0.1217,0.3389,-0.0329,1.3881,-1.3881,0.0000,0.0000,1.3796,-1.3796,0.0014,0.0026,0.0085,0.6148,
9,20240207-MicroHoles_study_1 (0.264) (280) ,11629,13.9215,-50.0000,0.0000,13.8094,-49.6589,-0.0312,0.3604,-0.1121,0.3411,-0.0312,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (280) ,11596,12.5379,-50.0000,0.0000,12.4366,-49.6580,-0.0297,0.3580,-0.1012,0.3420,-0.0297,1.3837,-1.3837,0.0000,0.0000,1.3728,-1.3728,0.0010,0.0015,0.0109,0.7871,
