Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (280) ,692,-25.0000,-50.0000,2.5000,-24.8329,-49.6472,2.4919,0.3905,0.1671,0.3528,-0.0081,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (280) ,11660,-23.6027,-50.0000,2.5000,-23.4444,-49.6455,2.4913,0.3884,0.1583,0.3545,-0.0087,1.3973,1.3973,0.0000,0.0000,1.3884,1.3884,0.0017,-0.0006,0.0088,0.6311,
3,20240207-MicroHoles_study_1 (0.264) (280) ,11657,-22.2088,-50.0000,2.5000,-22.0590,-49.6425,2.4916,0.3876,0.1497,0.3575,-0.0084,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (280) ,11663,-20.8149,-50.0000,2.5000,-20.6745,-49.6393,2.4903,0.3872,0.1404,0.3607,-0.0097,1.3939,1.3939,0.0000,0.0000,1.3846,1.3846,0.0032,-0.0013,0.0093,0.6693,
5,20240207-MicroHoles_study_1 (0.264) (280) ,11654,-19.4203,-50.0000,2.5000,-19.2917,-49.6359,2.4890,0.3863,0.1286,0.3641,-0.0110,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (280) ,11669,-18.0260,-50.0000,2.5000,-17.9094,-49.6357,2.4881,0.3827,0.1166,0.3643,-0.0119,1.3943,1.3943,0.0000,0.0000,1.3823,1.3823,0.0002,-0.0009,0.0120,0.8621,
7,20240207-MicroHoles_study_1 (0.264) (280) ,11666,-16.6316,-50.0000,2.5000,-16.5250,-49.6365,2.4878,0.3790,0.1067,0.3635,-0.0122,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (280) ,11672,-15.2451,-50.0000,2.5000,-15.1475,-49.6354,2.4863,0.3776,0.0975,0.3646,-0.0137,1.3866,1.3866,0.0000,0.0000,1.3775,1.3775,0.0011,-0.0014,0.0091,0.6577,
9,20240207-MicroHoles_study_1 (0.264) (280) ,11675,-13.8554,-50.0000,2.5000,-13.7693,-49.6346,2.4851,0.3757,0.0861,0.3654,-0.0149,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (280) ,11651,-12.4656,-50.0000,2.5000,-12.3910,-49.6367,2.4837,0.3713,0.0746,0.3633,-0.0163,1.3898,1.3898,0.0000,0.0000,1.3783,1.3783,-0.0021,-0.0014,0.0115,0.8277,
