Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
26,20240207-MicroHoles_study_1 (0.264) (280) ,11406,-25.0000,15.2373,2.5000,-24.8276,15.1306,2.4918,0.2029,0.1724,-0.1066,-0.0082,1.3891,0.0000,-1.3891,0.0000,1.3799,-0.0011,-1.3799,0.0039,0.0092,0.6605,
27,20240207-MicroHoles_study_1 (0.264) (280) ,11409,-25.0000,13.8484,2.5000,-24.8275,13.7513,2.4934,0.1981,0.1725,-0.0972,-0.0066,,,,,,,,,,,
28,20240207-MicroHoles_study_1 (0.264) (280) ,11385,-25.0000,12.4617,2.5000,-24.8273,12.3749,2.4949,0.1934,0.1727,-0.0869,-0.0051,1.3867,0.0000,-1.3867,0.0000,1.3764,0.0003,-1.3764,0.0015,0.0103,0.7430,
29,20240207-MicroHoles_study_1 (0.264) (280) ,11418,-25.0000,10.9197,2.5000,-24.8275,10.8436,2.4962,0.1886,0.1725,-0.0761,-0.0038,,,,,,,,,,,
30,20240207-MicroHoles_study_1 (0.264) (280) ,11415,-25.0000,9.6852,2.5000,-24.8264,9.6174,2.4977,0.1864,0.1736,-0.0678,-0.0023,1.2345,0.0000,-1.2345,0.0000,1.2262,0.0011,-1.2262,0.0015,0.0083,0.6689,
31,20240207-MicroHoles_study_1 (0.264) (280) ,11421,-25.0000,8.2950,2.5000,-24.8256,8.2365,2.4984,0.1839,0.1744,-0.0585,-0.0016,,,,,,,,,,,
32,20240207-MicroHoles_study_1 (0.264) (280) ,11412,-25.0000,6.9048,2.5000,-24.8254,6.8572,2.4999,0.1810,0.1746,-0.0475,-0.0001,1.3902,0.0000,-1.3902,0.0000,1.3793,0.0002,-1.3793,0.0015,0.0109,0.7872,
33,20240207-MicroHoles_study_1 (0.264) (280) ,11427,-25.0000,5.5147,2.5000,-24.8263,5.4767,2.5001,0.1778,0.1737,-0.0381,0.0001,,,,,,,,,,,
34,20240207-MicroHoles_study_1 (0.264) (280) ,11424,-25.0000,4.1247,2.5000,-24.8265,4.0961,2.4986,0.1758,0.1735,-0.0286,-0.0014,1.3901,0.0000,-1.3901,0.0000,1.3806,-0.0002,-1.3806,-0.0015,0.0095,0.6815,
35,20240207-MicroHoles_study_1 (0.264) (280) ,11430,-25.0000,2.7366,2.5000,-24.8263,2.7173,2.4997,0.1748,0.1737,-0.0193,-0.0003,,,,,,,,,,,
36,20240207-MicroHoles_study_1 (0.264) (280) ,11433,-25.0000,1.3484,2.5000,-24.8269,1.3391,2.4998,0.1734,0.1731,-0.0093,-0.0002,1.3881,0.0000,-1.3881,0.0000,1.3782,-0.0006,-1.3782,0.0001,0.0099,0.7158,
37,20240207-MicroHoles_study_1 (0.264) (280) ,11328,-25.0000,-0.0388,2.5000,-24.8274,-0.0385,2.5027,0.1726,0.1726,0.0003,0.0027,,,,,,,,,,,
38,20240207-MicroHoles_study_1 (0.264) (280) ,11448,-25.0000,-1.4263,2.5000,-24.8275,-1.4164,2.5007,0.1727,0.1725,0.0099,0.0007,1.3875,0.0000,-1.3875,0.0000,1.3779,-0.0001,-1.3779,-0.0020,0.0096,0.6894,
39,20240207-MicroHoles_study_1 (0.264) (280) ,11445,-25.0000,-2.8138,2.5000,-24.8278,-2.7938,2.5013,0.1733,0.1722,0.0199,0.0013,,,,,,,,,,,
40,20240207-MicroHoles_study_1 (0.264) (280) ,11451,-25.0000,-4.2045,2.5000,-24.8295,-4.1747,2.5044,0.1732,0.1705,0.0298,0.0044,1.3907,0.0000,-1.3907,0.0000,1.3808,-0.0017,-1.3808,0.0031,0.0099,0.7120,
41,20240207-MicroHoles_study_1 (0.264) (280) ,11442,-25.0000,-5.5952,2.5000,-24.8314,-5.5569,2.5049,0.1730,0.1686,0.0383,0.0049,,,,,,,,,,,
42,20240207-MicroHoles_study_1 (0.264) (280) ,11457,-25.0000,-6.9859,2.5000,-24.8302,-6.9376,2.5059,0.1767,0.1698,0.0483,0.0059,1.3907,0.0000,-1.3907,0.0000,1.3806,0.0012,-1.3806,0.0010,0.0100,0.7209,
43,20240207-MicroHoles_study_1 (0.264) (280) ,11454,-25.0000,-8.3736,2.5000,-24.8298,-8.3149,2.5063,0.1801,0.1702,0.0587,0.0063,,,,,,,,,,,
44,20240207-MicroHoles_study_1 (0.264) (280) ,11460,-25.0000,-9.8803,2.5000,-24.8305,-9.8113,2.5065,0.1831,0.1695,0.0690,0.0065,1.5067,0.0000,-1.5067,0.0000,1.4964,-0.0007,-1.4964,0.0003,0.0103,0.6837,
45,20240207-MicroHoles_study_1 (0.264) (280) ,11463,-25.0000,-11.1516,2.5000,-24.8297,-11.0737,2.5075,0.1874,0.1703,0.0778,0.0075,,,,,,,,,,,
