Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
26,20240207-MicroHoles_study_1 (0.264) (280) ,10599,25.0000,15.3121,0.0000,24.8374,15.2100,0.0231,0.1934,-0.1626,-0.1022,0.0231,1.3904,0.0000,-1.3904,0.0000,1.3821,0.0008,-1.3821,-0.0001,0.0084,0.6012,
27,20240207-MicroHoles_study_1 (0.264) (280) ,10602,25.0000,13.9250,0.0000,24.8385,13.8320,0.0255,0.1881,-0.1615,-0.0930,0.0255,,,,,,,,,,,
28,20240207-MicroHoles_study_1 (0.264) (280) ,10569,25.0000,12.5379,0.0000,24.8384,12.4535,0.0252,0.1840,-0.1616,-0.0844,0.0252,1.3871,0.0000,-1.3871,0.0000,1.3785,0.0000,-1.3785,-0.0003,0.0086,0.6197,
29,20240207-MicroHoles_study_1 (0.264) (280) ,10593,25.0000,11.1516,0.0000,24.8379,11.0762,0.0226,0.1802,-0.1621,-0.0754,0.0226,,,,,,,,,,,
30,20240207-MicroHoles_study_1 (0.264) (280) ,10590,25.0000,9.7619,0.0000,24.8375,9.6954,0.0221,0.1770,-0.1625,-0.0665,0.0221,1.3897,0.0000,-1.3897,0.0000,1.3808,-0.0004,-1.3808,-0.0005,0.0088,0.6361,
31,20240207-MicroHoles_study_1 (0.264) (280) ,10584,25.0000,8.3736,0.0000,24.8376,8.3170,0.0215,0.1733,-0.1624,-0.0566,0.0215,,,,,,,,,,,
32,20240207-MicroHoles_study_1 (0.264) (280) ,10587,25.0000,6.9853,0.0000,24.8376,6.9378,0.0206,0.1705,-0.1624,-0.0475,0.0206,1.3883,0.0000,-1.3883,0.0000,1.3792,0.0000,-1.3792,-0.0009,0.0091,0.6528,
33,20240207-MicroHoles_study_1 (0.264) (280) ,10572,25.0000,5.5952,0.0000,24.8374,5.5564,0.0202,0.1683,-0.1626,-0.0388,0.0202,,,,,,,,,,,
34,20240207-MicroHoles_study_1 (0.264) (280) ,10581,25.0000,4.2026,0.0000,24.8369,4.1729,0.0204,0.1670,-0.1631,-0.0297,0.0204,1.3926,0.0000,-1.3926,0.0000,1.3835,-0.0005,-1.3835,0.0002,0.0091,0.6551,
35,20240207-MicroHoles_study_1 (0.264) (280) ,10575,25.0000,2.8121,0.0000,24.8373,2.7927,0.0212,0.1652,-0.1627,-0.0194,0.0212,,,,,,,,,,,
36,20240207-MicroHoles_study_1 (0.264) (280) ,10578,25.0000,1.4250,0.0000,24.8375,1.4150,0.0208,0.1642,-0.1625,-0.0099,0.0208,1.3871,0.0000,-1.3871,0.0000,1.3777,0.0002,-1.3777,-0.0004,0.0095,0.6820,
37,20240207-MicroHoles_study_1 (0.264) (280) ,10458,25.0000,0.0379,0.0000,24.8368,0.0371,0.0181,0.1642,-0.1632,-0.0008,0.0181,,,,,,,,,,,
38,20240207-MicroHoles_study_1 (0.264) (280) ,10563,25.0000,-1.3501,0.0000,24.8360,-1.3409,0.0186,0.1653,-0.1640,0.0092,0.0186,1.3880,0.0000,-1.3880,0.0000,1.3781,-0.0008,-1.3781,0.0005,0.0099,0.7157,
39,20240207-MicroHoles_study_1 (0.264) (280) ,10560,25.0000,-2.7381,0.0000,24.8356,-2.7185,0.0175,0.1665,-0.1644,0.0196,0.0175,,,,,,,,,,,
40,20240207-MicroHoles_study_1 (0.264) (280) ,10554,25.0000,-4.1261,0.0000,24.8363,-4.0961,0.0148,0.1671,-0.1637,0.0300,0.0148,1.3880,0.0000,-1.3880,0.0000,1.3776,0.0007,-1.3776,-0.0027,0.0104,0.7493,
41,20240207-MicroHoles_study_1 (0.264) (280) ,10557,25.0000,-5.5141,0.0000,24.8368,-5.4750,0.0138,0.1684,-0.1632,0.0391,0.0138,,,,,,,,,,,
42,20240207-MicroHoles_study_1 (0.264) (280) ,10542,25.0000,-6.9058,0.0000,24.8373,-6.8572,0.0146,0.1704,-0.1627,0.0486,0.0146,1.3917,0.0000,-1.3917,0.0000,1.3821,0.0005,-1.3821,0.0008,0.0095,0.6850,
43,20240207-MicroHoles_study_1 (0.264) (280) ,10551,25.0000,-8.2974,0.0000,24.8372,-8.2393,0.0136,0.1734,-0.1628,0.0581,0.0136,,,,,,,,,,,
44,20240207-MicroHoles_study_1 (0.264) (280) ,10545,25.0000,-9.6879,0.0000,24.8371,-9.6203,0.0103,0.1767,-0.1629,0.0676,0.0103,1.3904,0.0000,-1.3904,0.0000,1.3810,-0.0001,-1.3810,-0.0032,0.0094,0.6794,
45,20240207-MicroHoles_study_1 (0.264) (280) ,10548,25.0000,-10.9804,0.0000,24.8372,-10.9047,0.0096,0.1798,-0.1628,0.0757,0.0096,,,,,,,,,,,
46,20240207-MicroHoles_study_1 (0.264) (280) ,10515,25.0000,-12.2728,0.0000,24.8372,-12.1883,0.0105,0.1838,-0.1628,0.0845,0.0105,1.2925,0.0000,-1.2925,0.0000,1.2836,0.0000,-1.2836,0.0009,0.0088,0.6832,
47,20240207-MicroHoles_study_1 (0.264) (280) ,10539,25.0000,-13.3764,0.0000,24.8372,-13.2837,0.0095,0.1876,-0.1628,0.0927,0.0095,,,,,,,,,,,
48,20240207-MicroHoles_study_1 (0.264) (280) ,146049,25.0000,-14.4643,0.0000,24.8375,-14.3642,0.0071,0.1910,-0.1625,0.1001,0.0071,1.0880,0.0000,-1.0880,0.0000,1.0805,0.0004,-1.0805,-0.0024,0.0075,0.6864,
49,20240207-MicroHoles_study_1 (0.264) (280) ,10536,25.0000,-15.5523,0.0000,24.8376,-15.4454,0.0051,0.1945,-0.1624,0.1068,0.0051,,,,,,,,,,,
50,20240207-MicroHoles_study_1 (0.264) (280) ,10530,25.0000,-16.6247,0.0000,24.8375,-16.5114,0.0054,0.1982,-0.1625,0.1133,0.0054,1.0724,0.0000,-1.0724,0.0000,1.0659,-0.0001,-1.0659,0.0003,0.0065,0.6018,
51,20240207-MicroHoles_study_1 (0.264) (280) ,10533,25.0000,-18.0152,0.0000,24.8376,-17.8924,0.0038,0.2036,-0.1624,0.1228,0.0038,,,,,,,,,,,
52,20240207-MicroHoles_study_1 (0.264) (280) ,10518,25.0000,-19.4063,0.0000,24.8368,-19.2741,0.0010,0.2100,-0.1632,0.1322,0.0010,1.3911,0.0000,-1.3911,0.0000,1.3817,-0.0008,-1.3817,-0.0028,0.0094,0.6770,
53,20240207-MicroHoles_study_1 (0.264) (280) ,10527,25.0000,-20.7974,0.0000,24.8368,-20.6571,-0.0013,0.2153,-0.1632,0.1403,-0.0013,,,,,,,,,,,
54,20240207-MicroHoles_study_1 (0.264) (280) ,10521,25.0000,-22.1879,0.0000,24.8362,-22.0384,-0.0016,0.2217,-0.1638,0.1494,-0.0016,1.3904,0.0000,-1.3904,0.0000,1.3813,-0.0006,-1.3813,-0.0003,0.0091,0.6564,
55,20240207-MicroHoles_study_1 (0.264) (280) ,10524,25.0000,-23.5752,0.0000,24.8358,-23.4171,-0.0031,0.2279,-0.1642,0.1581,-0.0031,,,,,,,,,,,
56,20240207-MicroHoles_study_1 (0.264) (280) ,10461,25.0000,-24.9626,0.0000,24.8350,-24.7952,-0.0069,0.2352,-0.1650,0.1674,-0.0069,1.3873,0.0000,-1.3873,0.0000,1.3781,-0.0009,-1.3781,-0.0037,0.0093,0.6676,
57,20240207-MicroHoles_study_1 (0.264) (280) ,10512,25.0000,-26.3503,0.0000,24.8348,-26.1753,-0.0087,0.2409,-0.1652,0.1750,-0.0087,,,,,,,,,,,
58,20240207-MicroHoles_study_1 (0.264) (280) ,10509,25.0000,-27.7381,0.0000,24.8344,-27.5538,-0.0088,0.2479,-0.1656,0.1843,-0.0088,1.3878,0.0000,-1.3878,0.0000,1.3785,-0.0003,-1.3785,-0.0002,0.0092,0.6661,
59,20240207-MicroHoles_study_1 (0.264) (280) ,10503,25.0000,-29.1268,0.0000,24.8335,-28.9341,-0.0109,0.2549,-0.1665,0.1927,-0.0109,,,,,,,,,,,
60,20240207-MicroHoles_study_1 (0.264) (280) ,10506,25.0000,-30.5158,0.0000,24.8326,-30.3141,-0.0149,0.2625,-0.1674,0.2017,-0.0149,1.3890,0.0000,-1.3890,0.0000,1.3800,-0.0009,-1.3800,-0.0040,0.0090,0.6482,
61,20240207-MicroHoles_study_1 (0.264) (280) ,10491,25.0000,-31.9048,0.0000,24.8320,-31.6953,-0.0165,0.2690,-0.1680,0.2095,-0.0165,,,,,,,,,,,
62,20240207-MicroHoles_study_1 (0.264) (280) ,10500,25.0000,-33.2964,0.0000,24.8315,-33.0779,-0.0169,0.2764,-0.1685,0.2185,-0.0169,1.3916,0.0000,-1.3916,0.0000,1.3826,-0.0006,-1.3826,-0.0003,0.0090,0.6469,
63,20240207-MicroHoles_study_1 (0.264) (280) ,10494,25.0000,-34.6874,0.0000,24.8301,-34.4602,-0.0191,0.2844,-0.1699,0.2272,-0.0191,,,,,,,,,,,
64,20240207-MicroHoles_study_1 (0.264) (280) ,10497,25.0000,-36.0785,0.0000,24.8290,-35.8427,-0.0227,0.2921,-0.1710,0.2357,-0.0227,1.3910,0.0000,-1.3910,0.0000,1.3826,-0.0010,-1.3826,-0.0036,0.0085,0.6100,
65,20240207-MicroHoles_study_1 (0.264) (280) ,10464,25.0000,-37.4669,0.0000,24.8282,-37.2231,-0.0235,0.2992,-0.1718,0.2438,-0.0235,,,,,,,,,,,
66,20240207-MicroHoles_study_1 (0.264) (280) ,10488,25.0000,-38.8560,0.0000,24.8267,-38.6032,-0.0255,0.3076,-0.1733,0.2528,-0.0255,1.3891,0.0000,-1.3891,0.0000,1.3801,-0.0015,-1.3801,-0.0020,0.0090,0.6465,
67,20240207-MicroHoles_study_1 (0.264) (280) ,10485,25.0000,-40.2454,0.0000,24.8256,-39.9834,-0.0278,0.3160,-0.1744,0.2620,-0.0278,,,,,,,,,,,
68,20240207-MicroHoles_study_1 (0.264) (280) ,10479,25.0000,-41.6348,0.0000,24.8245,-41.3645,-0.0314,0.3238,-0.1755,0.2703,-0.0314,1.3894,0.0000,-1.3894,0.0000,1.3811,-0.0011,-1.3811,-0.0036,0.0083,0.5956,
69,20240207-MicroHoles_study_1 (0.264) (280) ,10482,25.0000,-43.0246,0.0000,24.8235,-42.7457,-0.0319,0.3315,-0.1765,0.2789,-0.0319,,,,,,,,,,,
70,20240207-MicroHoles_study_1 (0.264) (280) ,10467,25.0000,-44.4197,0.0000,24.8218,-44.1319,-0.0343,0.3402,-0.1782,0.2878,-0.0343,1.3951,0.0000,-1.3951,0.0000,1.3862,-0.0017,-1.3862,-0.0024,0.0089,0.6411,
71,20240207-MicroHoles_study_1 (0.264) (280) ,10476,25.0000,-45.8149,0.0000,24.8208,-45.5181,-0.0378,0.3488,-0.1792,0.2968,-0.0378,,,,,,,,,,,
72,20240207-MicroHoles_study_1 (0.264) (280) ,10470,25.0000,-47.2096,0.0000,24.8196,-46.9044,-0.0402,0.3568,-0.1804,0.3052,-0.0402,1.3948,0.0000,-1.3948,0.0000,1.3864,-0.0012,-1.3864,-0.0024,0.0084,0.6003,
73,20240207-MicroHoles_study_1 (0.264) (280) ,10473,25.0000,-48.6048,0.0000,24.8180,-48.2914,-0.0426,0.3649,-0.1820,0.3134,-0.0426,,,,,,,,,,,
74,20240207-MicroHoles_study_1 (0.264) (280) ,685,25.0000,-50.0000,0.0000,24.8160,-49.6782,-0.0440,0.3732,-0.1840,0.3218,-0.0440,1.3952,0.0000,-1.3952,0.0000,1.3868,-0.0019,-1.3868,-0.0014,0.0084,0.5989,
