Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
26,20240207-MicroHoles_study_1 (0.264) (320),10927,9.6865,50.0000,0.0000,9.6056,49.6616,-0.0019,0.3479,-0.0809,-0.3384,-0.0019,1.3909,1.3909,0.0000,0.0000,1.3821,1.3821,0.0020,0.0015,0.0087,0.6289,
27,20240207-MicroHoles_study_1 (0.264) (320),10930,11.0761,50.0000,0.0000,10.9860,49.6632,-0.0001,0.3486,-0.0901,-0.3368,-0.0001,,,,,,,,,,,
28,20240207-MicroHoles_study_1 (0.264) (320),10897,12.4656,50.0000,0.0000,12.3677,49.6648,0.0014,0.3492,-0.0979,-0.3352,0.0014,1.3895,1.3895,0.0000,0.0000,1.3817,1.3817,0.0016,0.0015,0.0079,0.5650,
29,20240207-MicroHoles_study_1 (0.264) (320),10921,13.8544,50.0000,0.0000,13.7469,49.6659,0.0029,0.3510,-0.1074,-0.3341,0.0029,,,,,,,,,,,
30,20240207-MicroHoles_study_1 (0.264) (320),10918,15.2431,50.0000,0.0000,15.1269,49.6677,0.0050,0.3521,-0.1162,-0.3323,0.0050,1.3888,1.3888,0.0000,0.0000,1.3799,1.3799,0.0018,0.0022,0.0088,0.6338,
31,20240207-MicroHoles_study_1 (0.264) (320),10912,16.6316,50.0000,0.0000,16.5068,49.6704,0.0067,0.3525,-0.1248,-0.3296,0.0067,,,,,,,,,,,
32,20240207-MicroHoles_study_1 (0.264) (320),10915,18.0252,50.0000,0.0000,17.8926,49.6718,0.0080,0.3541,-0.1326,-0.3282,0.0080,1.3935,1.3935,0.0000,0.0000,1.3858,1.3858,0.0014,0.0013,0.0077,0.5542,
33,20240207-MicroHoles_study_1 (0.264) (320),10900,19.4187,50.0000,0.0000,19.2774,49.6727,0.0096,0.3566,-0.1413,-0.3273,0.0096,,,,,,,,,,,
34,20240207-MicroHoles_study_1 (0.264) (320),10909,20.8135,50.0000,0.0000,20.6633,49.6747,0.0109,0.3584,-0.1502,-0.3253,0.0109,1.3948,1.3948,0.0000,0.0000,1.3859,1.3859,0.0020,0.0014,0.0089,0.6376,
35,20240207-MicroHoles_study_1 (0.264) (320),10903,22.2082,50.0000,0.0000,22.0496,49.6783,0.0135,0.3589,-0.1586,-0.3217,0.0135,,,,,,,,,,,
36,20240207-MicroHoles_study_1 (0.264) (320),10906,23.6027,50.0000,0.0000,23.4371,49.6796,0.0150,0.3610,-0.1657,-0.3204,0.0150,1.3945,1.3945,0.0000,0.0000,1.3874,1.3874,0.0013,0.0016,0.0070,0.5049,
37,20240207-MicroHoles_study_1 (0.264) (320),686,25.0000,50.0000,0.0000,24.8267,49.6786,0.0174,0.3656,-0.1733,-0.3214,0.0174,,,,,,,,,,,
