Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (320),688,25.0000,-50.0000,2.5000,24.8182,-49.6860,2.4369,0.3682,-0.1818,0.3140,-0.0631,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (320),11750,23.6175,-50.0000,2.5000,23.4434,-49.6833,2.4391,0.3665,-0.1741,0.3167,-0.0609,1.3825,-1.3825,0.0000,0.0000,1.3748,-1.3748,0.0028,0.0022,0.0077,0.5570,
3,20240207-MicroHoles_study_1 (0.264) (320),11747,22.2346,-50.0000,2.5000,22.0684,-49.6797,2.4415,0.3656,-0.1662,0.3203,-0.0585,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (320),11741,20.8547,-50.0000,2.5000,20.6967,-49.6765,2.4425,0.3646,-0.1580,0.3235,-0.0575,1.3799,-1.3799,0.0000,0.0000,1.3717,-1.3717,0.0032,0.0010,0.0081,0.5899,
5,20240207-MicroHoles_study_1 (0.264) (320),11744,19.4720,-50.0000,2.5000,19.3232,-49.6732,2.4426,0.3637,-0.1489,0.3268,-0.0574,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (320),11729,18.0848,-50.0000,2.5000,17.9474,-49.6711,2.4442,0.3607,-0.1374,0.3289,-0.0558,1.3872,-1.3872,0.0000,0.0000,1.3757,-1.3757,0.0021,0.0016,0.0115,0.8309,
7,20240207-MicroHoles_study_1 (0.264) (320),11738,16.6967,-50.0000,2.5000,16.5683,-49.6696,2.4470,0.3584,-0.1284,0.3304,-0.0530,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (320),11732,15.3086,-50.0000,2.5000,15.1885,-49.6675,2.4477,0.3574,-0.1201,0.3325,-0.0523,1.3881,-1.3881,0.0000,0.0000,1.3798,-1.3798,0.0021,0.0007,0.0083,0.6008,
9,20240207-MicroHoles_study_1 (0.264) (320),11735,13.9215,-50.0000,2.5000,13.8109,-49.6651,2.4493,0.3563,-0.1107,0.3349,-0.0507,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (320),11702,12.5379,-50.0000,2.5000,12.4385,-49.6639,2.4508,0.3539,-0.0994,0.3361,-0.0492,1.3837,-1.3837,0.0000,0.0000,1.3724,-1.3724,0.0013,0.0015,0.0113,0.8169,
11,20240207-MicroHoles_study_1 (0.264) (320),11726,11.1499,-50.0000,2.5000,11.0597,-49.6634,2.4532,0.3516,-0.0902,0.3366,-0.0468,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (320),11723,9.7619,-50.0000,2.5000,9.6800,-49.6620,2.4553,0.3507,-0.0819,0.3380,-0.0447,1.3880,-1.3880,0.0000,0.0000,1.3797,-1.3797,0.0014,0.0021,0.0083,0.5984,
13,20240207-MicroHoles_study_1 (0.264) (320),11717,8.3753,-50.0000,2.5000,8.3026,-49.6601,2.4558,0.3504,-0.0727,0.3399,-0.0442,,,,,,,,,,,
14,20240207-MicroHoles_study_1 (0.264) (320),11720,6.9859,-50.0000,2.5000,6.9241,-49.6590,2.4584,0.3491,-0.0618,0.3410,-0.0416,1.3895,-1.3895,0.0000,0.0000,1.3785,-1.3785,0.0012,0.0025,0.0110,0.7882,
15,20240207-MicroHoles_study_1 (0.264) (320),11705,5.5942,-50.0000,2.5000,5.5411,-49.6577,2.4615,0.3486,-0.0531,0.3423,-0.0385,,,,,,,,,,,
16,20240207-MicroHoles_study_1 (0.264) (320),11714,4.2026,-50.0000,2.5000,4.1577,-49.6559,2.4627,0.3490,-0.0449,0.3441,-0.0373,1.3917,-1.3917,0.0000,0.0000,1.3834,-1.3834,0.0018,0.0013,0.0082,0.5908,
17,20240207-MicroHoles_study_1 (0.264) (320),11708,2.8142,-50.0000,2.5000,2.7796,-49.6533,2.4637,0.3503,-0.0346,0.3467,-0.0363,,,,,,,,,,,
18,20240207-MicroHoles_study_1 (0.264) (320),11711,1.4260,-50.0000,2.5000,1.4018,-49.6526,2.4661,0.3499,-0.0243,0.3474,-0.0339,1.3882,-1.3882,0.0000,0.0000,1.3778,-1.3778,0.0007,0.0025,0.0104,0.7472,
19,20240207-MicroHoles_study_1 (0.264) (320),11648,0.0379,-50.0000,2.5000,0.0225,-49.6513,2.4689,0.3504,-0.0154,0.3487,-0.0311,,,,,,,,,,,
20,20240207-MicroHoles_study_1 (0.264) (320),11699,-1.3501,-50.0000,2.5000,-1.3569,-49.6490,2.4701,0.3523,-0.0068,0.3510,-0.0299,1.3880,-1.3880,0.0000,0.0000,1.3794,-1.3794,0.0023,0.0012,0.0086,0.6181,
21,20240207-MicroHoles_study_1 (0.264) (320),11696,-2.7381,-50.0000,2.5000,-2.7343,-49.6470,2.4710,0.3543,0.0038,0.3530,-0.0290,,,,,,,,,,,
22,20240207-MicroHoles_study_1 (0.264) (320),11690,-4.1247,-50.0000,2.5000,-4.1102,-49.6468,2.4735,0.3545,0.0144,0.3532,-0.0265,1.3866,-1.3866,0.0000,0.0000,1.3759,-1.3759,0.0002,0.0025,0.0106,0.7656,
23,20240207-MicroHoles_study_1 (0.264) (320),11693,-5.5141,-50.0000,2.5000,-5.4909,-49.6456,2.4762,0.3559,0.0232,0.3544,-0.0238,,,,,,,,,,,
24,20240207-MicroHoles_study_1 (0.264) (320),11678,-6.9048,-50.0000,2.5000,-6.8731,-49.6435,2.4773,0.3586,0.0317,0.3565,-0.0227,1.3907,-1.3907,0.0000,0.0000,1.3822,-1.3822,0.0022,0.0011,0.0085,0.6113,
25,20240207-MicroHoles_study_1 (0.264) (320),11687,-8.2964,-50.0000,2.5000,-8.2537,-49.6406,2.4783,0.3625,0.0426,0.3594,-0.0217,,,,,,,,,,,
26,20240207-MicroHoles_study_1 (0.264) (320),11681,-9.6880,-50.0000,2.5000,-9.6338,-49.6401,2.4801,0.3645,0.0541,0.3599,-0.0199,1.3916,-1.3916,0.0000,0.0000,1.3801,-1.3801,0.0005,0.0017,0.0115,0.8252,
27,20240207-MicroHoles_study_1 (0.264) (320),11684,-11.0768,-50.0000,2.5000,-11.0130,-49.6399,2.4822,0.3661,0.0638,0.3601,-0.0178,,,,,,,,,,,
28,20240207-MicroHoles_study_1 (0.264) (320),11651,-12.4656,-50.0000,2.5000,-12.3923,-49.6385,2.4830,0.3692,0.0733,0.3615,-0.0170,1.3888,-1.3888,0.0000,0.0000,1.3794,-1.3794,0.0014,0.0008,0.0095,0.6819,
29,20240207-MicroHoles_study_1 (0.264) (320),11675,-13.8554,-50.0000,2.5000,-13.7709,-49.6361,2.4844,0.3739,0.0844,0.3639,-0.0156,,,,,,,,,,,
30,20240207-MicroHoles_study_1 (0.264) (320),11672,-15.2451,-50.0000,2.5000,-15.1492,-49.6366,2.4858,0.3761,0.0959,0.3634,-0.0142,1.3897,-1.3897,0.0000,0.0000,1.3783,-1.3783,-0.0005,0.0014,0.0114,0.8223,
31,20240207-MicroHoles_study_1 (0.264) (320),11666,-16.6316,-50.0000,2.5000,-16.5267,-49.6377,2.4875,0.3774,0.1049,0.3623,-0.0125,,,,,,,,,,,
32,20240207-MicroHoles_study_1 (0.264) (320),11669,-18.0260,-50.0000,2.5000,-17.9114,-49.6371,2.4876,0.3808,0.1146,0.3629,-0.0124,1.3943,-1.3943,0.0000,0.0000,1.3847,-1.3847,0.0006,0.0001,0.0097,0.6923,
33,20240207-MicroHoles_study_1 (0.264) (320),11654,-19.4203,-50.0000,2.5000,-19.2940,-49.6371,2.4886,0.3844,0.1263,0.3629,-0.0114,,,,,,,,,,,
34,20240207-MicroHoles_study_1 (0.264) (320),11663,-20.8149,-50.0000,2.5000,-20.6768,-49.6407,2.4902,0.3850,0.1381,0.3593,-0.0098,1.3946,-1.3946,0.0000,0.0000,1.3829,-1.3829,-0.0036,0.0016,0.0117,0.8400,
35,20240207-MicroHoles_study_1 (0.264) (320),11657,-22.2088,-50.0000,2.5000,-22.0617,-49.6445,2.4918,0.3848,0.1471,0.3555,-0.0082,,,,,,,,,,,
36,20240207-MicroHoles_study_1 (0.264) (320),11660,-23.6027,-50.0000,2.5000,-23.4476,-49.6479,2.4918,0.3849,0.1552,0.3521,-0.0082,1.3940,-1.3940,0.0000,0.0000,1.3859,-1.3859,-0.0034,0.0000,0.0081,0.5807,
37,20240207-MicroHoles_study_1 (0.264) (320),692,-25.0000,-50.0000,2.5000,-24.8366,-49.6500,2.4924,0.3863,0.1634,0.3500,-0.0076,,,,,,,,,,,
