Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (320),692,-25.0000,-50.0000,2.5000,-24.8366,-49.6500,2.4924,0.3863,0.1634,0.3500,-0.0076,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (320),11538,-25.0000,-48.6175,2.5000,-24.8388,-48.2754,2.4955,0.3782,0.1612,0.3421,-0.0045,1.3825,0.0000,1.3825,0.0000,1.3747,-0.0021,1.3747,0.0031,0.0079,0.5706,
3,20240207-MicroHoles_study_1 (0.264) (320),11535,-25.0000,-47.2346,2.5000,-24.8385,-46.8994,2.4978,0.3720,0.1615,0.3352,-0.0022,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (320),11529,-25.0000,-45.8518,2.5000,-24.8357,-45.5244,2.4999,0.3663,0.1643,0.3274,-0.0001,1.3828,0.0000,1.3828,0.0000,1.3750,0.0029,1.3750,0.0021,0.0077,0.5599,
5,20240207-MicroHoles_study_1 (0.264) (320),11532,-25.0000,-44.4683,2.5000,-24.8337,-44.1511,2.5000,0.3582,0.1663,0.3172,0.0000,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (320),11517,-25.0000,-43.0848,2.5000,-24.8339,-42.7786,2.5016,0.3483,0.1661,0.3062,0.0016,1.3835,0.0000,1.3835,0.0000,1.3725,-0.0003,1.3725,0.0015,0.0110,0.7965,
7,20240207-MicroHoles_study_1 (0.264) (320),11526,-25.0000,-41.6967,2.5000,-24.8335,-41.3986,2.5052,0.3416,0.1665,0.2982,0.0052,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (320),11520,-25.0000,-40.3086,2.5000,-24.8310,-40.0198,2.5043,0.3347,0.1690,0.2889,0.0043,1.3881,0.0000,1.3881,0.0000,1.3788,0.0025,1.3788,-0.0008,0.0093,0.6689,
9,20240207-MicroHoles_study_1 (0.264) (320),11523,-25.0000,-38.9233,2.5000,-24.8288,-38.6447,2.5060,0.3270,0.1712,0.2785,0.0060,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (320),11490,-25.0000,-37.5379,2.5000,-24.8294,-37.2706,2.5070,0.3172,0.1706,0.2673,0.0070,1.3854,0.0000,1.3854,0.0000,1.3741,-0.0006,1.3741,0.0011,0.0113,0.8124,
11,20240207-MicroHoles_study_1 (0.264) (320),11514,-25.0000,-36.5293,2.5000,-24.8294,-36.2683,2.5099,0.3119,0.1706,0.2609,0.0099,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (320),11511,-25.0000,-34.7634,2.5000,-24.8285,-34.5143,2.5105,0.3026,0.1715,0.2491,0.0105,1.7658,0.0000,1.7658,0.0000,1.7540,0.0008,1.7540,0.0006,0.0118,0.6694,
13,20240207-MicroHoles_study_1 (0.264) (320),11505,-25.0000,-33.3753,2.5000,-24.8281,-33.1372,2.5094,0.2938,0.1719,0.2381,0.0094,,,,,,,,,,,
14,20240207-MicroHoles_study_1 (0.264) (320),11508,-25.0000,-31.9848,2.5000,-24.8287,-31.7574,2.5099,0.2849,0.1713,0.2274,0.0099,1.3906,0.0000,1.3906,0.0000,1.3798,-0.0006,1.3798,0.0005,0.0107,0.7718,
15,20240207-MicroHoles_study_1 (0.264) (320),11493,-25.0000,-30.6803,2.5000,-24.8285,-30.4616,2.5120,0.2781,0.1715,0.2187,0.0120,,,,,,,,,,,
16,20240207-MicroHoles_study_1 (0.264) (320),11502,-25.0000,-29.2026,2.5000,-24.8278,-28.9937,2.5125,0.2710,0.1722,0.2089,0.0125,1.4777,0.0000,1.4777,0.0000,1.4680,0.0008,1.4680,0.0004,0.0098,0.6613,
17,20240207-MicroHoles_study_1 (0.264) (320),11496,-25.0000,-27.8121,2.5000,-24.8276,-27.6140,2.5125,0.2629,0.1724,0.1981,0.0125,,,,,,,,,,,
18,20240207-MicroHoles_study_1 (0.264) (320),11499,-25.0000,-26.4252,2.5000,-24.8277,-26.2363,2.5131,0.2561,0.1723,0.1889,0.0131,1.3869,0.0000,1.3869,0.0000,1.3777,-0.0001,1.3777,0.0006,0.0091,0.6582,
19,20240207-MicroHoles_study_1 (0.264) (320),11436,-25.0000,-25.0384,2.5000,-24.8268,-24.8590,2.5128,0.2497,0.1732,0.1794,0.0128,,,,,,,,,,,
20,20240207-MicroHoles_study_1 (0.264) (320),11487,-25.0000,-23.6516,2.5000,-24.8260,-23.4819,2.5116,0.2433,0.1740,0.1697,0.0116,1.3868,0.0000,1.3868,0.0000,1.3771,0.0008,1.3771,-0.0012,0.0098,0.7041,
21,20240207-MicroHoles_study_1 (0.264) (320),11484,-25.0000,-22.2634,2.5000,-24.8258,-22.1062,2.5119,0.2350,0.1742,0.1573,0.0119,,,,,,,,,,,
22,20240207-MicroHoles_study_1 (0.264) (320),11478,-25.0000,-20.8753,2.5000,-24.8268,-20.7274,2.5125,0.2282,0.1732,0.1479,0.0125,1.3881,0.0000,1.3881,0.0000,1.3788,-0.0009,1.3788,0.0007,0.0093,0.6706,
23,20240207-MicroHoles_study_1 (0.264) (320),11481,-25.0000,-19.4853,2.5000,-24.8259,-19.3468,2.5111,0.2227,0.1741,0.1385,0.0111,,,,,,,,,,,
24,20240207-MicroHoles_study_1 (0.264) (320),11466,-25.0000,-18.0952,2.5000,-24.8254,-17.9676,2.5098,0.2165,0.1746,0.1276,0.0098,1.3901,0.0000,1.3901,0.0000,1.3792,0.0006,1.3792,-0.0013,0.0109,0.7844,
25,20240207-MicroHoles_study_1 (0.264) (320),11475,-25.0000,-16.7026,2.5000,-24.8260,-16.5861,2.5112,0.2097,0.1740,0.1164,0.0112,,,,,,,,,,,
26,20240207-MicroHoles_study_1 (0.264) (320),11469,-25.0000,-15.3121,2.5000,-24.8278,-15.2050,2.5112,0.2032,0.1722,0.1071,0.0112,1.3904,0.0000,1.3904,0.0000,1.3812,-0.0018,1.3812,0.0000,0.0093,0.6674,
