Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
26,20240207-MicroHoles_study_1 (0.264) (320),11617,9.7619,-50.0000,0.0000,9.6772,-49.6569,-0.0298,0.3547,-0.0847,0.3431,-0.0298,1.3866,1.3866,0.0000,0.0000,1.3774,1.3774,-0.0018,-0.0026,0.0091,0.6575,
27,20240207-MicroHoles_study_1 (0.264) (320),11620,11.1499,-50.0000,0.0000,11.0568,-49.6584,-0.0308,0.3554,-0.0931,0.3416,-0.0308,,,,,,,,,,,
28,20240207-MicroHoles_study_1 (0.264) (320),11596,12.5379,-50.0000,0.0000,12.4355,-49.6596,-0.0322,0.3570,-0.1023,0.3404,-0.0322,1.3880,1.3880,0.0000,0.0000,1.3788,1.3788,-0.0012,-0.0014,0.0092,0.6640,
29,20240207-MicroHoles_study_1 (0.264) (320),11629,13.9215,-50.0000,0.0000,13.8081,-49.6604,-0.0337,0.3596,-0.1134,0.3396,-0.0337,,,,,,,,,,,
30,20240207-MicroHoles_study_1 (0.264) (320),11626,15.3086,-50.0000,0.0000,15.1853,-49.6630,-0.0354,0.3606,-0.1232,0.3370,-0.0354,1.3870,1.3870,0.0000,0.0000,1.3772,1.3772,-0.0026,-0.0017,0.0098,0.7082,
31,20240207-MicroHoles_study_1 (0.264) (320),11632,16.6967,-50.0000,0.0000,16.5651,-49.6645,-0.0383,0.3624,-0.1316,0.3355,-0.0383,,,,,,,,,,,
32,20240207-MicroHoles_study_1 (0.264) (320),11623,18.0848,-50.0000,0.0000,17.9443,-49.6663,-0.0388,0.3642,-0.1406,0.3337,-0.0388,1.3881,1.3881,0.0000,0.0000,1.3792,1.3792,-0.0018,-0.0005,0.0089,0.6438,
33,20240207-MicroHoles_study_1 (0.264) (320),11638,19.4720,-50.0000,0.0000,19.3205,-49.6682,-0.0404,0.3670,-0.1515,0.3318,-0.0404,,,,,,,,,,,
34,20240207-MicroHoles_study_1 (0.264) (320),11635,20.8547,-50.0000,0.0000,20.6938,-49.6714,-0.0434,0.3684,-0.1609,0.3286,-0.0434,1.3826,1.3826,0.0000,0.0000,1.3732,1.3732,-0.0032,-0.0029,0.0094,0.6787,
35,20240207-MicroHoles_study_1 (0.264) (320),11641,22.2346,-50.0000,0.0000,22.0656,-49.6749,-0.0455,0.3692,-0.1690,0.3251,-0.0455,,,,,,,,,,,
36,20240207-MicroHoles_study_1 (0.264) (320),11644,23.6175,-50.0000,0.0000,23.4408,-49.6788,-0.0460,0.3695,-0.1767,0.3212,-0.0460,1.3829,1.3829,0.0000,0.0000,1.3752,1.3752,-0.0039,-0.0004,0.0077,0.5550,
37,20240207-MicroHoles_study_1 (0.264) (320),685,25.0000,-50.0000,0.0000,24.8151,-49.6814,-0.0468,0.3713,-0.1849,0.3186,-0.0468,,,,,,,,,,,
