Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (320),686,25.0000,50.0000,0.0000,24.8267,49.6786,0.0174,0.3656,-0.1733,-0.3214,0.0174,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (320),10668,25.0000,48.6173,0.0000,24.8256,48.3041,0.0184,0.3590,-0.1744,-0.3132,0.0184,1.3827,0.0000,-1.3827,0.0000,1.3745,-0.0012,-1.3745,0.0009,0.0082,0.5938,
3,20240207-MicroHoles_study_1 (0.264) (320),10665,25.0000,47.2346,0.0000,24.8245,46.9293,0.0194,0.3527,-0.1755,-0.3053,0.0194,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (320),10659,25.0000,45.8547,0.0000,24.8222,45.5582,0.0211,0.3463,-0.1778,-0.2965,0.0211,1.3799,0.0000,-1.3799,0.0000,1.3710,-0.0023,-1.3710,0.0017,0.0088,0.6410,
5,20240207-MicroHoles_study_1 (0.264) (320),10662,25.0000,44.4693,0.0000,24.8216,44.1831,0.0214,0.3379,-0.1784,-0.2861,0.0214,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (320),10647,25.0000,43.0838,0.0000,24.8231,42.8071,0.0221,0.3291,-0.1769,-0.2767,0.0221,1.3854,0.0000,-1.3854,0.0000,1.3760,0.0015,-1.3760,0.0007,0.0094,0.6809,
7,20240207-MicroHoles_study_1 (0.264) (320),10656,25.0000,41.6962,0.0000,24.8238,41.4279,0.0212,0.3217,-0.1762,-0.2683,0.0212,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (320),10650,25.0000,40.3094,0.0000,24.8245,40.0498,0.0232,0.3142,-0.1755,-0.2596,0.0232,1.3868,0.0000,-1.3868,0.0000,1.3781,0.0007,-1.3781,0.0020,0.0087,0.6292,
9,20240207-MicroHoles_study_1 (0.264) (320),10653,25.0000,38.9230,0.0000,24.8250,38.6739,0.0238,0.3054,-0.1750,-0.2491,0.0238,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (320),10620,25.0000,37.5366,0.0000,24.8266,37.2965,0.0241,0.2971,-0.1734,-0.2400,0.0241,1.3864,0.0000,-1.3864,0.0000,1.3774,0.0017,-1.3774,0.0004,0.0090,0.6524,
11,20240207-MicroHoles_study_1 (0.264) (320),10644,25.0000,36.1492,0.0000,24.8277,35.9173,0.0236,0.2899,-0.1723,-0.2319,0.0236,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (320),10641,25.0000,34.7619,0.0000,24.8288,34.5392,0.0253,0.2820,-0.1712,-0.2227,0.0253,1.3873,0.0000,-1.3873,0.0000,1.3781,0.0011,-1.3781,0.0017,0.0092,0.6630,
13,20240207-MicroHoles_study_1 (0.264) (320),10635,25.0000,33.3730,0.0000,24.8299,33.1599,0.0256,0.2738,-0.1701,-0.2131,0.0256,,,,,,,,,,,
14,20240207-MicroHoles_study_1 (0.264) (320),10638,25.0000,31.9833,0.0000,24.8313,31.7793,0.0237,0.2658,-0.1687,-0.2040,0.0237,1.3897,0.0000,-1.3897,0.0000,1.3806,0.0013,-1.3806,-0.0018,0.0091,0.6548,
15,20240207-MicroHoles_study_1 (0.264) (320),10623,25.0000,30.5936,0.0000,24.8327,30.3977,0.0242,0.2588,-0.1673,-0.1959,0.0242,,,,,,,,,,,
16,20240207-MicroHoles_study_1 (0.264) (320),10632,25.0000,29.2032,0.0000,24.8341,29.0167,0.0247,0.2508,-0.1659,-0.1865,0.0247,1.3904,0.0000,-1.3904,0.0000,1.3810,0.0014,-1.3810,0.0005,0.0095,0.6808,
