Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (320),689,-25.0000,50.0000,0.0000,-24.8431,49.6423,-0.0492,0.3937,0.1569,-0.3577,-0.0492,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (320),11125,-25.0000,48.6027,0.0000,-24.8427,48.2525,-0.0477,0.3869,0.1573,-0.3503,-0.0477,1.3973,0.0000,-1.3973,0.0000,1.3898,0.0004,-1.3898,0.0015,0.0074,0.5324,
3,20240207-MicroHoles_study_1 (0.264) (320),11122,-25.0000,47.2088,0.0000,-24.8382,46.8645,-0.0455,0.3831,0.1618,-0.3443,-0.0455,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (320),11128,-25.0000,45.8149,0.0000,-24.8319,45.4795,-0.0407,0.3774,0.1681,-0.3354,-0.0407,1.3939,0.0000,-1.3939,0.0000,1.3850,0.0063,-1.3850,0.0048,0.0089,0.6378,
5,20240207-MicroHoles_study_1 (0.264) (320),11119,-25.0000,44.4187,0.0000,-24.8289,44.0961,-0.0368,0.3671,0.1711,-0.3227,-0.0368,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (320),11134,-25.0000,43.0246,0.0000,-24.8302,42.7137,-0.0339,0.3558,0.1698,-0.3109,-0.0339,1.3942,0.0000,-1.3942,0.0000,1.3824,-0.0013,-1.3824,0.0029,0.0118,0.8451,
7,20240207-MicroHoles_study_1 (0.264) (320),11131,-25.0000,42.1197,0.0000,-24.8304,41.8144,-0.0330,0.3508,0.1696,-0.3053,-0.0330,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (320),11137,-25.0000,40.2435,0.0000,-24.8278,39.9508,-0.0282,0.3408,0.1722,-0.2927,-0.0282,1.8762,0.0000,-1.8762,0.0000,1.8636,0.0026,-1.8636,0.0048,0.0126,0.6693,
9,20240207-MicroHoles_study_1 (0.264) (320),11140,-25.0000,38.8554,0.0000,-24.8266,38.5748,-0.0248,0.3308,0.1734,-0.2806,-0.0248,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (320),11116,-25.0000,37.4661,0.0000,-24.8276,37.1960,-0.0238,0.3212,0.1724,-0.2700,-0.0238,1.3893,0.0000,-1.3893,0.0000,1.3787,-0.0010,-1.3787,0.0010,0.0106,0.7638,
11,20240207-MicroHoles_study_1 (0.264) (320),11149,-25.0000,36.0764,0.0000,-24.8274,35.8155,-0.0219,0.3136,0.1726,-0.2610,-0.0219,,,,,,,,,,,
12,20240207-MicroHoles_study_1 (0.264) (320),11146,-25.0000,34.6868,0.0000,-24.8248,34.4356,-0.0197,0.3069,0.1752,-0.2512,-0.0197,1.3896,0.0000,-1.3896,0.0000,1.3798,0.0026,-1.3798,0.0022,0.0098,0.7045,
13,20240207-MicroHoles_study_1 (0.264) (320),11152,-25.0000,33.2968,0.0000,-24.8246,33.0565,-0.0176,0.2980,0.1754,-0.2403,-0.0176,,,,,,,,,,,
14,20240207-MicroHoles_study_1 (0.264) (320),11143,-25.0000,31.7197,0.0000,-24.8267,31.4906,-0.0154,0.2877,0.1733,-0.2292,-0.0154,1.5771,0.0000,-1.5771,0.0000,1.5660,-0.0020,-1.5660,0.0022,0.0112,0.7076,
15,20240207-MicroHoles_study_1 (0.264) (320),11158,-25.0000,30.5141,0.0000,-24.8264,30.2928,-0.0135,0.2816,0.1736,-0.2213,-0.0135,,,,,,,,,,,
16,20240207-MicroHoles_study_1 (0.264) (320),11155,-25.0000,29.1247,0.0000,-24.8251,28.9140,-0.0116,0.2740,0.1749,-0.2107,-0.0116,1.3895,0.0000,-1.3895,0.0000,1.3788,0.0013,-1.3788,0.0019,0.0107,0.7672,
17,20240207-MicroHoles_study_1 (0.264) (320),11161,-25.0000,27.7381,0.0000,-24.8272,27.5384,-0.0103,0.2643,0.1728,-0.1997,-0.0103,,,,,,,,,,,
18,20240207-MicroHoles_study_1 (0.264) (320),11164,-25.0000,26.3484,0.0000,-24.8290,26.1572,-0.0085,0.2567,0.1710,-0.1912,-0.0085,1.3897,0.0000,-1.3897,0.0000,1.3812,-0.0019,-1.3812,0.0018,0.0085,0.6089,
19,20240207-MicroHoles_study_1 (0.264) (320),11113,-25.0000,24.9621,0.0000,-24.8285,24.7810,-0.0064,0.2495,0.1715,-0.1812,-0.0064,,,,,,,,,,,
20,20240207-MicroHoles_study_1 (0.264) (320),11176,-25.0000,23.5750,0.0000,-24.8281,23.4040,-0.0050,0.2425,0.1719,-0.1710,-0.0050,1.3871,0.0000,-1.3871,0.0000,1.3770,0.0005,-1.3770,0.0013,0.0102,0.7318,
21,20240207-MicroHoles_study_1 (0.264) (320),11173,-25.0000,22.1879,0.0000,-24.8269,22.0270,-0.0040,0.2364,0.1731,-0.1609,-0.0040,,,,,,,,,,,
22,20240207-MicroHoles_study_1 (0.264) (320),11179,-25.0000,20.7974,0.0000,-24.8266,20.6456,-0.0012,0.2304,0.1734,-0.1518,-0.0012,1.3904,0.0000,-1.3904,0.0000,1.3813,0.0003,-1.3813,0.0027,0.0091,0.6554,
23,20240207-MicroHoles_study_1 (0.264) (320),11170,-25.0000,19.4048,0.0000,-24.8248,19.2627,0.0017,0.2256,0.1752,-0.1421,0.0017,,,,,,,,,,,
24,20240207-MicroHoles_study_1 (0.264) (320),11185,-25.0000,18.0156,0.0000,-24.8245,17.8863,0.0038,0.2180,0.1755,-0.1292,0.0038,1.3892,0.0000,-1.3892,0.0000,1.3763,0.0003,-1.3763,0.0021,0.0129,0.9268,
25,20240207-MicroHoles_study_1 (0.264) (320),11182,-25.0000,16.6264,0.0000,-24.8256,16.5076,0.0046,0.2111,0.1744,-0.1188,0.0046,,,,,,,,,,,
26,20240207-MicroHoles_study_1 (0.264) (320),11188,-25.0000,15.2373,0.0000,-24.8269,15.1271,0.0040,0.2052,0.1731,-0.1102,0.0040,1.3891,0.0000,-1.3891,0.0000,1.3804,-0.0014,-1.3804,-0.0006,0.0086,0.6223,
27,20240207-MicroHoles_study_1 (0.264) (320),11191,-25.0000,13.8484,0.0000,-24.8270,13.7481,0.0050,0.2001,0.1730,-0.1004,0.0050,,,,,,,,,,,
28,20240207-MicroHoles_study_1 (0.264) (320),11167,-25.0000,12.4617,0.0000,-24.8267,12.3709,0.0064,0.1957,0.1733,-0.0908,0.0064,1.3867,0.0000,-1.3867,0.0000,1.3771,0.0003,-1.3771,0.0014,0.0096,0.6934,
29,20240207-MicroHoles_study_1 (0.264) (320),11200,-25.0000,10.9197,0.0000,-24.8267,10.8397,0.0084,0.1911,0.1733,-0.0800,0.0084,,,,,,,,,,,
30,20240207-MicroHoles_study_1 (0.264) (320),11197,-25.0000,9.6852,0.0000,-24.8260,9.6135,0.0098,0.1885,0.1740,-0.0717,0.0098,1.2345,0.0000,-1.2345,0.0000,1.2262,0.0007,-1.2262,0.0015,0.0083,0.6685,
31,20240207-MicroHoles_study_1 (0.264) (320),11203,-25.0000,8.2950,0.0000,-24.8253,8.2336,0.0114,0.1855,0.1747,-0.0614,0.0114,,,,,,,,,,,
32,20240207-MicroHoles_study_1 (0.264) (320),11194,-25.0000,6.9048,0.0000,-24.8251,6.8539,0.0124,0.1826,0.1749,-0.0509,0.0124,1.3902,0.0000,-1.3902,0.0000,1.3797,0.0002,-1.3797,0.0010,0.0105,0.7564,
33,20240207-MicroHoles_study_1 (0.264) (320),11209,-25.0000,5.5147,0.0000,-24.8256,5.4740,0.0140,0.1796,0.1744,-0.0407,0.0140,,,,,,,,,,,
34,20240207-MicroHoles_study_1 (0.264) (320),11206,-25.0000,4.1247,0.0000,-24.8261,4.0927,0.0172,0.1777,0.1739,-0.0320,0.0172,1.3901,0.0000,-1.3901,0.0000,1.3813,-0.0004,-1.3813,0.0032,0.0087,0.6289,
35,20240207-MicroHoles_study_1 (0.264) (320),11212,-25.0000,2.7366,0.0000,-24.8253,2.7159,0.0183,0.1769,0.1747,-0.0207,0.0183,,,,,,,,,,,
36,20240207-MicroHoles_study_1 (0.264) (320),11215,-25.0000,1.3484,0.0000,-24.8260,1.3382,0.0185,0.1752,0.1740,-0.0102,0.0185,1.3881,0.0000,-1.3881,0.0000,1.3777,-0.0008,-1.3777,0.0002,0.0104,0.7527,
37,20240207-MicroHoles_study_1 (0.264) (320),11110,-25.0000,-0.0388,0.0000,-24.8260,-0.0398,0.0171,0.1749,0.1740,-0.0010,0.0171,,,,,,,,,,,
38,20240207-MicroHoles_study_1 (0.264) (320),11230,-25.0000,-1.4263,0.0000,-24.8259,-1.4180,0.0195,0.1753,0.1741,0.0082,0.0195,1.3875,0.0000,-1.3875,0.0000,1.3782,0.0000,-1.3782,0.0025,0.0093,0.6677,
39,20240207-MicroHoles_study_1 (0.264) (320),11227,-25.0000,-2.8138,0.0000,-24.8264,-2.7950,0.0201,0.1758,0.1736,0.0188,0.0201,,,,,,,,,,,
40,20240207-MicroHoles_study_1 (0.264) (320),11233,-25.0000,-4.2045,0.0000,-24.8268,-4.1756,0.0179,0.1765,0.1732,0.0289,0.0179,1.3907,0.0000,-1.3907,0.0000,1.3806,-0.0004,-1.3806,-0.0022,0.0101,0.7274,
41,20240207-MicroHoles_study_1 (0.264) (320),11224,-25.0000,-5.5952,0.0000,-24.8292,-5.5571,0.0190,0.1760,0.1708,0.0381,0.0190,,,,,,,,,,,
42,20240207-MicroHoles_study_1 (0.264) (320),11239,-25.0000,-6.9853,0.0000,-24.8293,-6.9375,0.0193,0.1783,0.1707,0.0478,0.0193,1.3901,0.0000,-1.3901,0.0000,1.3804,0.0000,-1.3804,0.0003,0.0097,0.6948,
43,20240207-MicroHoles_study_1 (0.264) (320),11236,-25.0000,-8.3736,0.0000,-24.8292,-8.3156,0.0195,0.1814,0.1708,0.0580,0.0195,,,,,,,,,,,
44,20240207-MicroHoles_study_1 (0.264) (320),11242,-25.0000,-9.8803,0.0000,-24.8303,-9.8119,0.0203,0.1841,0.1697,0.0684,0.0203,1.5067,0.0000,-1.5067,0.0000,1.4963,-0.0011,-1.4963,0.0009,0.0104,0.6912,
45,20240207-MicroHoles_study_1 (0.264) (320),11245,-25.0000,-11.1516,0.0000,-24.8298,-11.0745,0.0207,0.1879,0.1702,0.0771,0.0207,,,,,,,,,,,
46,20240207-MicroHoles_study_1 (0.264) (320),11221,-25.0000,-12.5384,0.0000,-24.8297,-12.4515,0.0216,0.1924,0.1703,0.0869,0.0216,1.3868,0.0000,-1.3868,0.0000,1.3770,0.0001,-1.3770,0.0009,0.0098,0.7064,
47,20240207-MicroHoles_study_1 (0.264) (320),11254,-25.0000,-13.9252,0.0000,-24.8287,-13.8285,0.0219,0.1980,0.1713,0.0968,0.0219,,,,,,,,,,,
48,20240207-MicroHoles_study_1 (0.264) (320),11251,-25.0000,-15.3121,0.0000,-24.8289,-15.2058,0.0231,0.2027,0.1711,0.1063,0.0231,1.3869,0.0000,-1.3869,0.0000,1.3774,-0.0002,-1.3774,0.0012,0.0095,0.6837,
49,20240207-MicroHoles_study_1 (0.264) (320),11257,-25.0000,-16.7026,0.0000,-24.8274,-16.5871,0.0246,0.2091,0.1726,0.1154,0.0246,,,,,,,,,,,
50,20240207-MicroHoles_study_1 (0.264) (320),11248,-25.0000,-18.0952,0.0000,-24.8268,-17.9677,0.0267,0.2167,0.1732,0.1275,0.0267,1.3926,0.0000,-1.3926,0.0000,1.3806,0.0007,-1.3806,0.0021,0.0120,0.8644,
51,20240207-MicroHoles_study_1 (0.264) (320),11263,-25.0000,-19.4853,0.0000,-24.8272,-19.3469,0.0251,0.2228,0.1728,0.1384,0.0251,,,,,,,,,,,
52,20240207-MicroHoles_study_1 (0.264) (320),11260,-25.0000,-20.8753,0.0000,-24.8287,-20.7276,0.0246,0.2276,0.1713,0.1477,0.0246,1.3901,0.0000,-1.3901,0.0000,1.3807,-0.0015,-1.3807,-0.0005,0.0093,0.6708,
53,20240207-MicroHoles_study_1 (0.264) (320),11266,-25.0000,-22.2634,0.0000,-24.8272,-22.1059,0.0250,0.2351,0.1728,0.1575,0.0250,,,,,,,,,,,
54,20240207-MicroHoles_study_1 (0.264) (320),11269,-25.0000,-23.6516,0.0000,-24.8278,-23.4821,0.0254,0.2429,0.1722,0.1694,0.0254,1.3881,0.0000,-1.3881,0.0000,1.3762,-0.0006,-1.3762,0.0004,0.0119,0.8570,
