Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,20240207-MicroHoles_study_1 (0.264) (320),690,-25.0000,50.0000,2.5000,-24.8475,49.6472,2.4351,0.3898,0.1525,-0.3528,-0.0649,,,,,,,,,,,
2,20240207-MicroHoles_study_1 (0.264) (320),11106,-23.6175,50.0000,2.5000,-23.4714,49.6488,2.4376,0.3855,0.1461,-0.3512,-0.0624,1.3825,1.3825,0.0000,0.0000,1.3761,1.3761,0.0016,0.0025,0.0065,0.4688,
3,20240207-MicroHoles_study_1 (0.264) (320),11103,-22.2346,50.0000,2.5000,-22.0955,49.6462,2.4397,0.3850,0.1391,-0.3538,-0.0603,,,,,,,,,,,
4,20240207-MicroHoles_study_1 (0.264) (320),11097,-20.8518,50.0000,2.5000,-20.7219,49.6434,2.4418,0.3840,0.1299,-0.3566,-0.0582,1.3828,1.3828,0.0000,0.0000,1.3735,1.3735,-0.0028,0.0021,0.0092,0.6666,
5,20240207-MicroHoles_study_1 (0.264) (320),11100,-19.4691,50.0000,2.5000,-19.3490,49.6424,2.4445,0.3813,0.1201,-0.3576,-0.0555,,,,,,,,,,,
6,20240207-MicroHoles_study_1 (0.264) (320),11085,-18.0848,50.0000,2.5000,-17.9750,49.6435,2.4472,0.3767,0.1098,-0.3565,-0.0528,1.3843,1.3843,0.0000,0.0000,1.3740,1.3740,0.0012,0.0026,0.0103,0.7427,
7,20240207-MicroHoles_study_1 (0.264) (320),11094,-16.6967,50.0000,2.5000,-16.5952,49.6438,2.4499,0.3738,0.1015,-0.3562,-0.0501,,,,,,,,,,,
8,20240207-MicroHoles_study_1 (0.264) (320),11088,-15.3086,50.0000,2.5000,-15.2168,49.6436,2.4523,0.3712,0.0918,-0.3564,-0.0477,1.3881,1.3881,0.0000,0.0000,1.3784,1.3784,-0.0002,0.0024,0.0097,0.7018,
9,20240207-MicroHoles_study_1 (0.264) (320),11091,-13.9232,50.0000,2.5000,-13.8408,49.6433,2.4545,0.3689,0.0825,-0.3567,-0.0455,,,,,,,,,,,
10,20240207-MicroHoles_study_1 (0.264) (320),11058,-12.5379,50.0000,2.5000,-12.4663,49.6447,2.4571,0.3650,0.0716,-0.3553,-0.0429,1.3854,1.3854,0.0000,0.0000,1.3745,1.3744,0.0014,0.0026,0.0109,0.7871,
